Wavelength,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303
nm,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined
192.089,2,-18,-6,-7,-4,2,-9,-1,3,22,-12,-5,-10,0,-12,-6,-11,-12,2,-19,-5,-4,-3,4,-16,-7,-14,-19,1,-14,-8,-1,8,-1,-7,-4,-15,-3,12,-2,0,-20,3,-7,-9,4,-35,-10,2,-13,1,-17,9,17,-11,-2,-10,12,3,-20,-4,-16,-4,14,-17,0,4,25,-22,-8,-13,24,-23,14,-2,2,-9,-13,7,-10,-14,-13,-19,-4,-14,-7,-24,-17,-15,8,15,-15,-16,-1,12,-4,11,-12,-25,-34,-15,9,-23,4,0,-20,-2,-17,-14,-4,-18,-31,-5,5,-6,9,-15,-5,-10,6,-11,-13,-7,-29,-13,-17,-23,-27,-7,-1,5,-28,-22,-1,11,-11,5,13,-12,-26,-17,-8,9,3,-3,9,-5,5,-24,3,10,2,10,16,-13,-10,-20,-9,3,-16,-2,1,4,-7,-19,5,-15,-6,-12,7,-4,-39,-11,5,0,-13,0,-5,2,-3,3,2,-12,-12,2,-27,-3,-13,-29,-22,-40,-10,-13,-7,10,5,-15,2,-14,-1,-14,-8,9,-2,-40,-6,-15,-4,-1,3,-7,-4,-7,-13,-12,-25,-5,-1,6,-4,-13,-4,0,7,-15,-5,-12,4,-1,4,-8,-17,-6,-26,0,-28,-13,-5,-8,-18,-12,-13,-7,-12,-17,2,-14,-14,-13,1,-14,-23,-5,-1,11,8,-7,-6,-8,-24,-22,-7,-12,-15,2,-14,43,-14,-31,-17,1,6,-25,-21,2,-13,4,15,-13,-7,7,-12,-14,0,6,3,-19,-21,-10,-18,-24,-10,-17,-10,-12,3,-1,6,-6,-6,-12,-10,-6
192.891,-1,-26,-11,-19,-23,-25,-10,-37,-19,-40,-34,-37,-43,-23,-24,-20,-34,-28,-8,-34,-16,17,-18,-26,-34,-33,-7,-25,-15,-17,-35,-6,-22,-36,-35,-4,-49,-34,-24,-27,-32,-25,-30,-20,-29,-31,-32,-38,-22,-29,-16,-16,-27,-25,-4,-15,1,-1,-31,-16,-22,-27,-31,-37,-18,-37,-24,-28,-24,-18,-20,-16,-33,-44,-30,16,-26,-27,-22,-44,-18,-25,-42,-21,-27,-20,-28,-38,-5,-12,-35,-38,-54,-46,-22,-28,-22,-25,4,-41,-16,-34,-45,-32,-50,-16,-19,-35,-21,-33,-27,-39,-31,-12,-25,-18,-29,-30,-21,-7,-31,-23,-39,-37,-18,-34,-31,-30,-34,-28,-18,-2,-18,-31,-36,-25,-19,-36,-37,-25,-10,-32,-28,-15,-17,-6,-14,-31,-4,-8,-39,-28,-12,-8,-14,-23,-20,-27,-28,-2,-35,0,-18,-30,-42,-30,-18,-14,-28,-28,-51,-21,-26,-20,-28,-18,-34,-42,-43,-18,-12,-18,-13,-23,-24,-23,-37,-40,-26,-26,-22,-20,-14,-29,-24,-10,-22,-37,-23,-28,-15,-32,-29,-23,-43,-31,-35,-4,-24,-36,-36,-43,-34,-27,-28,-28,-12,-20,-39,-34,-14,-23,-34,-20,-26,-48,33,-24,-49,-47,-10,-22,-28,-34,-13,-23,-16,-31,-47,-8,-29,-34,-31,-25,-50,-30,-27,-30,-32,-38,-33,-28,-26,-34,-40,-37,-49,-33,-17,-25,-33,-27,-16,-33,-27,-36,-34,-19,-42,-21,-35,-24,-23,-21,-9,-39,-54,-19,-51,-47,-42,-53,-50,-35,-42,-19,-42,-15,10,-23,-26,-23,-24,-16,-16,-35,-30,-19,-28,-20,-26,-30,-39
193.693,1,-18,-21,-32,-22,-21,-30,2,-16,-11,-24,-31,-26,2,-16,-31,-22,-13,-32,-28,-36,-14,-40,-42,-15,-35,-23,-24,-21,-6,-18,-29,-6,-32,-1,-30,-29,-27,-5,-39,-22,-27,-13,-22,-49,-18,-24,2,-35,-8,-31,-31,-21,-1,-10,-36,-21,-33,-10,-19,-28,-32,-31,-22,-20,-6,-46,-14,9,-7,-14,-25,-23,-23,-12,-27,-31,-24,-20,-8,-47,-11,-28,-27,-33,-26,1,-29,-29,-20,-33,-26,-37,-29,-26,-53,-40,-20,-39,-36,-36,-30,-38,-25,-16,-11,-17,-9,-5,-15,-21,-11,-21,-38,-26,-30,-8,-46,-15,-41,-20,-11,-21,-33,-21,-7,-23,-4,-28,-29,-17,-16,-16,-21,-6,-17,-34,-10,-23,-8,-18,0,-2,-26,-22,-6,-32,-35,-24,-10,-21,-19,-2,-8,-24,-37,-9,-16,3,-37,-24,-37,-36,-18,-3,-24,-10,-30,-12,-36,-22,-10,-25,-19,-20,-23,-6,-32,-44,-20,-21,-15,-6,-28,-14,-40,-10,-30,-16,-24,-36,-9,-13,-9,-24,-24,-16,-34,-23,-22,16,-11,-25,-9,-27,-17,-13,-16,-36,-21,-7,-44,-23,-26,-20,-17,-17,-7,-20,-30,-17,-41,-23,-23,-29,-21,-27,-27,-31,-32,-25,-27,-10,11,-15,-17,-27,-15,-29,-40,-32,-54,-14,-28,-40,-30,-31,-38,-24,-15,-7,-37,24,-28,-22,-6,-33,-20,-4,-14,-9,-34,-26,-47,-48,-12,-21,-43,-26,-9,-27,-18,-12,-42,-20,-18,-41,-28,-31,-48,-20,-22,-3,-24,-23,-26,-21,-12,-25,-14,16,0,-31,-33,-35,-28,-25,-36,-3,-37,-9,-14,-30
194.495,-1,-35,-33,-37,-48,-39,-32,-41,-41,-34,-37,-29,-38,-42,-34,-34,-30,-41,-39,-43,-25,-37,-19,-41,-26,-24,-35,-25,-32,-36,-21,-36,6,-44,-46,-25,-44,-16,-35,-50,-45,-32,-45,-35,-46,-37,-31,-34,-44,-41,-23,-39,-50,-40,-30,-35,-37,-26,-28,-31,-31,-34,-39,-39,-17,-39,-26,-36,-51,-32,-16,-17,-32,-26,-14,-12,-44,-58,-42,-40,-50,-32,-50,-59,-44,-43,-31,-36,-39,-26,-36,-44,-29,-36,-39,-48,-13,-34,-45,-34,-67,-42,-33,-25,-50,-24,-52,-42,-30,-48,-25,-46,-35,-31,-41,-31,-38,-31,-38,-27,-33,-44,-52,-45,-31,-49,-50,-42,-62,-36,-22,-48,-59,-48,-30,-48,-48,-27,-20,-38,-35,-36,-10,-45,-13,-23,-32,-37,-59,-39,-42,-55,-41,-52,-28,-20,-51,-75,-31,-27,-37,-13,-33,-44,-39,-46,-49,-20,-30,-51,-51,-44,-18,-45,-38,-38,-41,-29,-44,-12,-35,-28,-28,-25,-35,-39,-42,-22,-52,-43,-39,-42,-31,-32,-33,-28,-34,-37,-51,-41,-41,-25,-36,-33,-37,-21,-52,-23,-52,-33,-37,-56,-34,-37,-45,-48,-31,-40,-61,-34,-47,-23,-40,-43,-24,-28,-40,-35,-38,-32,-19,-44,-22,-34,-47,-26,-30,-48,-39,-42,-37,-44,-39,-32,-40,-42,-43,-51,-52,-45,-40,-24,-39,-30,-26,-85,-42,-29,-30,-32,-34,-29,-41,-16,-55,-31,-54,-28,-16,-38,-33,-26,-34,-27,-36,-30,-49,-34,-64,-50,-48,-30,-31,-40,-40,-37,-27,-34,-43,-49,-55,-12,-41,-37,-32,-15,-39,-27,-50,-47,-45,-29,-56
195.297,-2,-16,-45,-19,-38,3,-22,-24,-24,-29,-22,-15,-11,-16,-16,-85,-15,-19,-21,-21,-33,-31,-34,-13,-25,-10,-22,-46,-17,-20,-22,-17,-20,-27,-33,-44,-21,-13,-16,-20,-26,-43,-35,-2,-36,-3,-33,-15,-9,-29,-20,-27,-38,-31,-2,0,-20,-8,-23,-29,-17,-28,-34,-7,-47,-17,-26,-29,-28,-18,-19,-34,-51,-20,-28,-7,-31,-21,-32,-10,-7,-30,-37,-9,-15,-16,-34,-18,-27,-26,-8,-26,-5,-16,-42,-25,-16,-20,-5,-26,-19,-27,-10,-37,-36,-15,-28,-27,-48,-14,-34,-9,-7,-11,-45,-13,-14,-33,-46,-29,-13,-19,-26,-27,-31,-35,-28,-11,-39,-28,-13,-22,-22,-25,-35,-38,-30,-17,-23,-29,-14,-15,-22,-19,-9,-24,-4,-20,-28,-16,-15,-9,-20,-2,-31,-17,-16,-9,-13,-19,-13,-30,-16,-26,-18,-28,-37,-17,-13,-24,-14,-23,-17,-31,-11,-14,-32,-21,-9,-31,-12,-3,-20,-18,-18,-16,-11,-9,-20,-35,-35,-23,-15,-25,-25,-36,-18,-30,-15,-13,-12,-17,-20,-13,-38,-36,-15,-44,-42,-36,-16,-41,-10,-1,-26,-32,-25,-44,-22,6,-20,-36,-21,-3,-22,-30,-25,-36,0,-13,-19,-30,-31,-28,-10,-13,-36,-1,-29,-23,-28,-34,-15,-29,-40,-22,-27,-26,-30,-37,-19,-31,-23,-27,-29,-29,-28,-24,7,-21,-12,-21,-18,-26,-1,-18,-16,-38,-36,-22,-24,-23,-44,-7,-20,-38,-34,-19,-16,-38,-19,-48,-9,-34,-43,-18,-34,-13,-9,-44,-24,-18,-23,-17,-19,-37,-2,-24,-29,-30,-34,-36,-42
196.099,19,-5,3,-9,-16,-13,-18,-26,-12,-3,-26,-30,-21,-22,-16,-33,-13,-2,-23,-23,-42,-16,-5,6,-8,-15,13,-5,-15,-23,-18,-8,0,-8,-7,-32,1,-11,-24,-25,12,-42,-26,-11,-18,-48,5,-23,9,-10,-21,-28,-9,-19,-25,-9,-9,-12,-38,-18,-16,-36,-18,-19,-4,-6,0,15,-9,-20,-22,-6,-19,-35,-11,-11,-30,-24,-6,-19,-21,-18,-41,-14,7,-3,-12,-6,-15,6,-12,-11,-6,-16,-34,-36,-28,-8,-22,-23,-29,-9,5,-16,-8,-12,-1,-14,-15,-12,-23,-9,-10,-15,-17,1,-33,-26,-13,-23,-21,-28,-11,0,-34,-30,5,-11,1,-22,-23,-8,-21,-18,-24,-15,-31,-45,-4,3,-10,-14,-11,-8,-7,5,-18,-5,-12,12,-23,-11,-13,-22,-26,13,-10,-10,-12,-16,-15,-9,-24,-5,-5,-15,-21,-1,-16,-10,-38,-7,-1,-15,-20,-50,-18,-8,-31,-15,-26,-13,-14,-24,-5,-35,-33,-18,-6,-27,-12,-31,-24,-13,-13,-3,-7,-61,-15,-22,-1,-26,-17,-15,-14,-9,-13,-34,-26,-10,-15,-16,-13,-24,-14,-18,-6,-16,-33,-18,-28,-50,-12,-16,-45,-24,-20,-28,-14,-28,-10,-16,-21,-7,0,-14,-26,-12,-18,-13,-34,-14,-33,-12,-8,-23,-13,-17,8,-19,-15,-33,-28,-30,-16,-44,-25,-13,-34,-22,-23,-25,-10,-27,-25,1,-18,-15,-13,-42,-23,-19,-14,-18,-13,-14,-28,-22,-22,-15,-14,-22,-19,-42,-11,0,-15,-12,-25,-9,-26,-13,-18,-15,-26,-16,-28,-45,-17,-27,-18,-17,-7
196.901,-14,-15,-25,-45,-31,-42,-19,-28,-11,-34,-35,-16,-35,-19,-28,-20,-23,-40,-38,-41,-26,-15,-37,-19,-35,-40,-25,-22,-45,-28,-39,-21,-33,-24,-21,-30,-46,-33,-20,-23,-24,-30,-33,-18,-24,-21,-20,-21,-23,-18,-46,-36,-19,-30,-34,-27,-37,-20,-25,-20,-49,-33,-27,-16,-23,-36,-38,-4,0,-19,-44,-46,-22,-38,-13,-44,-11,-33,-43,-42,-43,-40,-43,-14,-35,-34,-18,-39,-26,-28,-43,-17,-35,-43,-39,-42,-33,-58,-22,-20,-32,-19,-36,-30,-39,-26,-53,-39,-28,-32,-25,-21,-45,-34,-24,-25,-44,-21,-28,-33,-41,-47,-29,-16,-35,-49,-21,-49,-29,-20,-41,-17,-31,-43,-16,-32,-25,-18,-28,-14,-23,-32,-62,-19,-42,-11,-3,-33,-30,-8,-25,-20,-32,-28,-31,-37,-42,-27,-36,-31,-21,-14,-37,-43,-33,-13,-43,-21,-16,-36,-37,-24,-31,-36,-20,-27,-27,-19,-43,-33,-12,-33,-22,-33,-34,-19,-20,-26,-21,-39,-39,-30,-27,-50,-24,-33,-37,-36,-43,-30,-27,-34,-20,-13,-27,-29,-17,-26,-36,-4,-30,-37,-33,-23,-64,-28,-36,-14,-25,-35,-39,-45,-35,-38,-33,-24,-41,-38,-54,-41,-31,-37,-26,-43,-30,-39,-16,-31,-45,-28,-18,-39,-27,-14,-31,-3,-25,-17,-10,-29,-24,-16,-25,-31,-20,-46,-32,-40,-32,-28,-30,-25,-48,-66,-27,-22,-39,-19,-37,-32,-33,-28,-25,-34,-50,-41,-35,-27,-21,-31,-23,-42,-43,-53,-35,-39,-29,-25,-41,-9,-31,-45,-42,-10,-28,-57,-31,-47,-32,-32,-29,-15,-37
197.703,16,-19,-21,-30,-45,-3,19,-5,-22,4,-20,-6,-23,-9,-24,-14,-23,-13,-34,-8,-20,-19,-12,1,-26,-24,-4,2,-25,-29,-17,-9,-1,-10,3,-13,-7,-16,-3,-26,-9,-28,-1,-35,-35,9,-8,3,-20,-14,-32,-18,-7,-37,-29,-32,-15,-39,-5,16,-26,-22,-16,-15,-14,-33,-19,-33,-18,8,-39,-5,-16,-16,0,-16,-48,-30,-18,-20,-20,-18,-14,2,-11,-11,-16,-21,-25,-10,-21,-15,-19,-33,-35,-23,-14,-14,-16,-28,0,-15,-19,-17,-18,-28,-13,-5,-39,-22,-31,-30,-15,-15,-17,-33,-22,-19,12,-21,-24,-24,-19,-21,-5,-12,0,0,-20,-23,-29,-30,-18,-25,-19,-17,-35,-13,-34,-4,-19,-32,-37,-11,-31,-31,-34,12,4,-31,-7,-18,-1,-20,-6,1,-13,-10,-5,-23,-18,-19,-8,-21,-14,0,-9,-25,2,-12,-21,-23,-5,-22,-18,-14,-27,-12,-26,-4,-13,-10,-19,-28,-21,-48,-5,-29,-34,-4,-16,-21,-19,-23,-24,-16,-6,-5,-14,-17,-28,-20,-27,-25,-24,-25,-29,-28,-20,-9,-18,-32,-8,-21,-40,-15,-29,-32,-24,3,-39,-21,-24,-2,-41,-31,-46,-24,-40,-32,-1,-10,-17,-19,-10,-17,-16,10,-51,-6,-26,-9,-25,-22,-38,-11,-16,-11,-22,8,-24,-19,-28,-6,-11,-51,-33,-26,-6,-29,3,-23,-19,-22,-40,-14,-47,-20,-37,-23,-18,-21,-24,-5,-14,-35,-17,-20,-28,-24,-46,-29,-24,-8,-14,-17,-53,4,-13,-51,-42,-38,-8,-19,-18,-32,-25,-18,-14,-9,-29,-19,-25
198.504,14,-31,-32,-26,-52,-31,-40,-26,-26,-21,-28,-40,-27,-43,-35,-19,-31,-28,-13,-39,-50,-28,-39,-36,-35,-46,-35,-26,-32,-26,-22,-34,-21,-12,-53,-24,-38,-24,-33,-39,-40,-30,-38,-29,-17,-26,-9,-45,-36,-36,-25,-31,-41,-28,-29,-51,-26,-23,-34,-37,-33,-27,-33,-29,-38,-31,-33,-60,-35,-30,-40,-12,-48,-35,-35,-48,-28,-39,-41,-28,-27,-36,-7,-39,-36,-29,1,-36,-29,-15,-38,-34,-34,-20,-53,-30,-26,-35,-56,-13,-21,-27,-50,-30,-31,-20,-48,-37,-23,-34,-28,-35,-17,-21,-46,-47,-35,-47,-35,-45,-26,-12,-44,-26,1,-30,-61,-33,-27,-14,-29,-40,-39,-26,-35,-30,-26,-29,-8,-51,-1,-30,-37,-34,-34,-17,-22,-44,-31,-61,-23,-39,-26,-32,-30,-34,-23,-21,-33,-35,-26,-60,-16,-20,-29,-41,-24,-26,-35,-31,-41,-26,-25,-8,-37,-63,-42,-32,-44,-10,-51,-30,-38,-44,-13,-19,-31,-35,-24,-39,-25,-29,-27,-14,-38,-36,-27,-14,-37,-32,-20,-26,-48,-58,-32,-14,-14,-25,-24,-64,-42,-52,-37,-42,-16,-24,-31,-44,-38,-27,-41,-43,-54,-19,-20,-32,-12,-25,-33,-40,-27,-42,-23,-29,-29,-33,-35,-54,-27,-21,-38,-42,-37,-34,-30,-53,-27,-39,-12,-34,-42,-34,-51,-43,-35,-36,-25,-26,-27,-40,-35,-42,-56,-36,-53,-39,-41,-52,-42,-61,-32,-23,-33,-37,-32,-19,-80,-23,-36,-41,-20,-29,-27,-12,-36,-26,-25,-49,3,-38,-43,-40,-20,-44,-32,-35,-37,-19,-35,-53,-30,-22,-28
